Del_lines,COMM,ADEV,CountLineCodeExe,CountLineCode,Added_lines,CountSemicolon,OWN_COMMIT,CountStmt,CountOutput_Max,CountOutput_Mean,CountLine,DDEV,CountStmtExe,CountLineCodeDecl,CountLineBlank,CountDeclClassMethod,CountStmtDecl,MAJOR_COMMIT,OWN_LINE
507,22,22,240,377,420,191,0.363636363636364,284,21,6.53846153846154,523,7,193,101,78,2,91,4,0.367112810707457
6,2,2,38,77,15,43,0.5,59,10,3.27272727272727,121,2,30,30,16,1,29,2,0.702479338842975
135,20,20,251,415,160,252,0.3,348,40,6.51219512195122,598,7,209,134,122,8,139,7,0.341137123745819
20,8,8,1045,1410,45,885,1.0,1142,29,5.74418604651163,1608,1,848,282,115,3,294,1,0.994402985074627
1361,88,88,1846,2604,1497,1353,0.443181818181818,1915,38,5.31111111111111,3461,6,1335,934,501,36,580,4,0.340941924299335
11,3,3,0,34,35,23,0.666666666666667,24,1,0.105263157894737,69,2,0,33,5,0,24,2,0.927536231884058
57,10,10,331,548,82,306,0.4,421,29,4.25454545454545,729,4,247,179,108,10,174,4,0.558299039780521
18,6,6,12,34,22,18,0.666666666666667,26,5,3.6,84,2,10,16,7,0,16,2,0.797619047619048
151,15,15,240,505,643,223,0.6,329,17,4.50649350649351,669,3,169,228,127,65,160,3,0.732436472346786
629,53,53,545,875,594,412,0.716981132075472,608,40,7.875,1162,6,394,273,190,68,214,3,0.369191049913941
84,5,5,97,159,113,86,0.4,110,18,9.09090909090909,208,4,56,57,18,2,54,4,0.538461538461538
485,12,12,213,392,684,216,0.333333333333333,317,24,5.23214285714286,482,5,215,144,84,2,102,5,0.761410788381743
136,9,9,253,380,231,191,0.444444444444444,291,27,4.70967741935484,503,3,196,98,57,10,95,3,0.47117296222664
119,8,8,110,180,200,124,0.75,146,16,5.07692307692308,272,2,104,55,38,0,42,2,0.919117647058823
1082,54,54,1276,2224,2209,1138,0.518518518518518,1699,27,5.24888888888889,3184,7,1072,629,451,6,627,6,0.472178560201195
2510,25,25,1773,2483,2625,1293,0.68,1689,92,3.70631970260223,3134,5,1027,595,545,2,662,4,0.970006381620932
36,9,9,143,250,136,123,0.444444444444444,174,12,6.39285714285714,328,5,96,90,42,9,78,5,0.454268292682927
0,0,0,0,33,0,31,0.0,32,1,1.0,64,0,0,32,1,0,32,0,1.0
1566,5,5,1921,2790,1578,1160,0.8,1252,187,13.1176470588235,3332,2,973,719,67,0,279,2,0.756602641056423
1,1,1,28,59,1,39,1.0,50,6,3.875,105,1,21,28,19,0,29,1,0.80952380952381
5,5,5,10,25,65,14,0.8,19,8,6.0,60,2,8,11,7,0,11,2,0.983333333333333
0,0,0,2,9,0,4,0.0,7,2,1.5,42,0,2,5,6,0,5,0,1.0
1,1,1,41,80,1,49,1.0,62,11,5.5,142,1,27,36,25,2,35,1,0.309859154929577
1,2,2,6,14,27,7,0.5,10,4,4.0,26,2,4,6,4,0,6,2,0.884615384615385
1,1,1,0,6,1,4,1.0,5,0,0.0,38,1,0,5,4,0,5,1,0.763157894736842
102,6,6,43,71,6,57,0.5,64,20,8.66666666666667,95,3,31,34,21,0,33,3,0.884210526315789
0,0,0,0,4,0,2,0.0,3,0,0.0,39,0,0,3,1,0,3,0,1.0
0,0,0,0,3,0,1,0.0,2,0,0.0,34,0,0,2,1,0,2,0,1.0
133,5,5,86,90,176,87,0.4,88,0,0.0,127,3,0,88,0,0,88,3,0.677165354330709
6,2,2,14,39,3,22,0.5,30,8,3.8,81,2,12,18,9,0,18,2,0.481481481481481
0,0,0,9,31,0,17,0.0,24,5,2.0,88,0,9,15,9,0,15,0,0.556818181818182
12,4,4,65,116,11,73,0.5,100,15,6.75,185,2,56,41,34,0,44,2,0.756756756756757
0,0,0,4,17,0,9,0.0,13,3,2.33333333333333,60,0,4,9,4,0,9,0,0.666666666666667
9,13,13,35,52,13,48,0.307692307692308,50,5,5.0,93,4,34,16,4,1,16,4,0.397849462365591
4,5,5,22,64,102,35,0.4,46,8,4.375,93,3,14,37,20,1,32,3,0.978494623655914
101,2,2,14,41,107,21,0.5,31,6,2.14285714285714,107,2,14,17,11,0,17,2,0.94392523364486
0,0,0,0,5,0,3,0.0,4,1,1.0,39,0,0,4,2,0,4,0,0.82051282051282
11,5,5,35,60,26,40,0.4,50,14,6.6,101,4,21,28,12,1,29,4,0.722772277227723
18,4,4,74,156,23,81,0.5,122,5,1.71875,319,2,67,54,51,0,55,2,0.968652037617555
0,0,0,7,22,0,10,0.0,17,2,1.2,60,0,8,9,7,0,9,0,1.0
1,1,1,9,32,1,16,1.0,24,4,1.85714285714286,84,1,9,15,10,0,15,1,0.619047619047619
53,9,9,36,63,135,28,0.777777777777778,47,9,4.0,82,2,30,17,17,7,17,2,0.768292682926829
0,0,0,2,14,0,7,0.0,10,2,2.0,48,0,2,9,3,0,8,0,1.0
53,8,8,185,272,74,170,0.625,212,32,6.70588235294118,352,4,130,80,39,2,82,4,0.295454545454545
0,0,0,9,33,0,19,0.0,26,6,2.16666666666667,100,0,9,17,10,0,17,0,0.96
0,0,0,0,4,0,2,0.0,3,1,1.0,5,0,0,3,1,0,3,0,1.0
0,0,0,5,19,0,7,0.0,13,3,1.8,54,0,5,8,5,0,8,0,1.0
1,1,1,1,10,1,6,1.0,8,1,1.0,47,1,1,7,3,0,7,1,0.978723404255319
0,0,0,0,3,0,1,0.0,2,0,0.0,34,0,0,2,1,0,2,0,1.0
0,0,0,7,26,0,14,0.0,20,4,2.0,65,0,7,13,8,0,13,0,0.646153846153846
0,0,0,16,29,0,19,0.0,24,6,3.25,37,0,14,10,8,0,10,0,1.0
0,0,0,7,21,0,7,0.0,13,3,1.75,54,0,6,8,5,0,7,0,0.518518518518518
0,0,0,3,12,0,4,0.0,8,2,1.66666666666667,45,0,3,5,3,0,5,0,1.0
12,1,1,20,38,11,20,1.0,26,7,4.0,73,1,13,13,5,0,13,1,0.835616438356164
5,1,1,5,29,5,9,1.0,19,1,1.0,66,1,5,14,7,0,14,1,0.909090909090909
0,0,0,10,36,0,14,0.0,25,2,1.9,71,0,10,15,5,0,15,0,1.0
0,0,0,0,16,0,14,0.0,15,1,1.0,49,0,0,15,3,0,15,0,1.0
0,0,0,0,5,0,3,0.0,4,1,1.0,37,0,0,4,2,0,4,0,1.0
0,0,0,0,5,0,4,0.0,5,1,1.0,46,0,0,5,2,0,5,0,0.957446808510638
0,1,1,0,5,37,3,1.0,4,1,1.0,37,1,0,4,2,0,4,1,1.0
42,3,3,76,127,44,87,0.666666666666667,109,13,4.41666666666667,179,2,58,50,22,1,51,2,0.720670391061452
28,15,15,162,293,98,160,0.6,230,14,4.24390243902439,458,5,141,95,79,7,89,5,0.395196506550218
0,0,0,7,23,0,11,0.0,17,5,3.5,64,0,7,10,7,0,10,0,0.953125
3,3,3,8,48,45,13,0.666666666666667,19,3,1.42857142857143,85,2,7,34,10,0,12,2,0.752941176470588
0,0,0,0,10,0,2,0.0,6,0,0.0,44,0,0,6,4,0,6,0,1.0
0,0,0,7,26,0,14,0.0,20,4,2.0,81,0,7,13,9,0,13,0,0.506172839506173
0,0,0,73,93,0,27,0.0,31,8,6.0,117,0,8,25,12,3,23,0,0.547008547008547
0,0,0,8,27,0,13,0.0,20,4,2.16666666666667,65,0,8,12,8,0,12,0,1.0
0,0,0,15,30,0,16,0.0,24,6,2.6,78,0,12,12,8,0,12,0,0.987179487179487
96,4,4,98,302,111,107,1.0,202,8,2.07446808510638,413,1,98,109,98,0,104,1,1.0
0,0,0,0,6,0,6,0.0,6,1,1.0,54,0,0,6,6,0,6,0,0.945454545454545
143,8,8,222,340,178,198,0.375,261,31,6.92,455,5,171,87,57,3,90,5,0.404395604395604
0,0,0,1,4,0,2,0.0,3,0,0.0,5,0,0,3,1,0,3,0,0.8
486,13,13,117,213,285,111,0.384615384615385,175,12,4.69565217391304,325,4,114,74,41,1,61,4,0.363076923076923
8,3,3,26,53,5,30,0.666666666666667,40,8,3.57142857142857,100,2,22,19,11,0,18,2,0.47
0,0,0,121,124,0,121,0.0,122,0,0.0,158,0,0,123,5,0,122,0,1.0
0,0,0,1,8,0,4,0.0,6,2,2.0,12,0,1,5,4,0,5,0,0.833333333333333
0,0,0,0,44,0,41,0.0,42,1,0.555555555555556,84,0,0,42,11,0,42,0,0.630952380952381
37,10,10,322,529,148,296,0.3,424,7,2.09210526315789,746,4,259,194,100,9,165,4,0.333780160857909
6,2,2,1,13,8,3,1.0,11,1,0.142857142857143,48,1,1,10,4,0,10,1,0.729166666666667
27,2,2,12,22,54,8,1.0,12,1,1.0,27,1,8,5,5,1,4,1,1.0
25,2,2,11,23,23,8,1.0,12,3,2.33333333333333,57,1,4,10,5,0,8,1,0.614035087719298
0,0,0,12,29,0,13,0.0,21,2,1.14285714285714,69,0,10,11,8,0,11,0,0.608695652173913
12,7,7,26,63,22,27,0.571428571428571,40,11,4.375,119,3,22,29,14,2,18,3,0.403361344537815
236,16,16,86,146,462,95,0.5625,125,23,7.77777777777778,226,2,72,53,37,3,53,2,0.747787610619469
0,1,1,0,4,40,2,1.0,3,1,1.0,40,1,0,3,2,0,3,1,1.0
1,1,1,6,18,1,10,1.0,13,8,8.0,23,1,3,11,5,0,10,1,0.91304347826087
0,0,0,5,23,0,8,0.0,17,2,1.25,26,0,6,10,3,0,11,0,1.0
0,0,0,43,78,0,50,0.0,66,13,3.875,122,0,28,36,13,3,38,0,1.0
3,2,2,36,61,95,43,1.0,56,20,20.0,86,1,35,21,12,0,21,1,1.0
0,0,0,101,187,0,74,0.0,131,11,2.76470588235294,274,0,69,52,47,1,62,0,1.0
0,2,2,24,50,91,30,1.0,39,8,3.85714285714286,91,1,18,21,11,0,21,1,1.0
0,0,0,9,20,0,10,0.0,15,6,5.5,56,0,9,6,8,0,6,0,0.839285714285714
0,0,0,19,42,0,23,0.0,31,6,3.71428571428571,82,0,12,19,10,0,19,0,1.0
0,0,0,1,6,0,2,0.0,4,1,1.0,7,0,1,3,1,0,3,0,1.0
0,1,1,162,235,638,158,1.0,210,30,4.33333333333333,638,1,158,55,88,0,52,1,1.0
0,0,0,0,19,0,17,0.0,18,1,0.785714285714286,24,0,0,18,5,0,18,0,1.0
0,0,0,2,13,0,7,0.0,10,2,2.0,55,0,2,8,5,0,8,0,0.981818181818182
21,9,9,74,137,61,72,0.555555555555556,94,14,6.16666666666667,237,4,49,59,30,4,45,4,0.371308016877637
225,4,4,13,26,10,17,0.75,21,10,6.5,66,2,8,13,6,0,13,2,0.848484848484849
1,1,1,6,23,1,13,1.0,18,4,2.5,76,1,6,12,10,0,12,1,0.513157894736842
0,0,0,7,20,0,12,0.0,16,3,2.66666666666667,59,0,7,9,7,0,9,0,0.542372881355932
5,4,4,8,29,5,17,1.0,23,4,2.0,82,1,7,16,10,0,16,1,0.48780487804878
0,0,0,0,3,0,1,0.0,2,0,0.0,34,0,0,2,1,0,2,0,1.0
0,0,0,13,29,0,13,0.0,21,4,3.0,63,0,8,13,6,0,13,0,0.603174603174603
0,0,0,2,9,0,3,0.0,6,2,2.0,41,0,2,4,2,0,4,0,1.0
17,2,2,10,32,53,20,1.0,26,5,2.0,36,1,7,19,4,0,19,1,1.0
26,8,8,53,88,28,66,0.5,76,29,7.6,111,3,37,39,19,1,39,3,0.783783783783784
0,0,0,2,9,0,3,0.0,6,2,2.0,41,0,2,4,2,0,4,0,1.0
1,1,1,35,57,1,47,1.0,53,12,6.0,105,1,24,28,16,0,29,1,0.323809523809524
269,5,5,117,226,547,90,0.8,152,9,1.66666666666667,278,2,88,64,48,1,64,2,0.971223021582734
0,0,0,2,7,0,3,0.0,5,1,1.0,9,0,1,4,2,0,4,0,0.777777777777778
1,1,1,0,14,1,12,1.0,13,1,0.444444444444444,51,1,0,13,10,0,13,1,0.980392156862745
0,0,0,49,99,0,52,0.0,76,7,2.5,232,0,40,36,29,1,36,0,0.823275862068966
65,9,9,25,53,55,25,0.888888888888889,35,8,4.0,108,2,16,21,12,1,19,2,0.981481481481482
177,24,24,545,803,420,455,0.416666666666667,623,26,9.5625,1042,5,391,220,101,40,232,4,0.36468330134357
11,3,3,108,170,290,95,0.666666666666667,130,13,3.38888888888889,279,2,89,40,36,0,41,2,0.996415770609319
16,4,4,215,364,503,225,1.0,308,11,3.39393939393939,487,1,181,115,47,4,127,1,1.0
0,2,2,23,65,71,63,1.0,64,1,1.0,71,1,0,64,3,0,64,1,1.0
3,1,1,94,159,2,109,1.0,132,21,4.38461538461539,234,1,70,59,41,0,62,1,1.0
108,1,1,328,418,108,1614,1.0,1655,5,1.63636363636364,506,1,1585,70,64,21,70,1,1.0
18,2,2,5,16,17,7,1.0,11,3,2.33333333333333,50,1,4,8,5,0,7,1,0.58
17,5,5,16,50,18,26,0.8,38,5,2.0,118,2,16,22,12,0,22,2,0.457627118644068
0,1,1,0,3,4,1,1.0,2,0,0.0,4,1,0,2,1,0,2,1,1.0
0,0,0,3,10,0,4,0.0,7,1,1.0,42,0,2,5,5,0,5,0,1.0
1,1,1,6,23,1,13,1.0,18,4,2.5,77,1,6,12,8,0,12,1,0.493506493506494
0,1,1,2,9,28,5,1.0,7,2,2.0,28,1,1,6,6,1,6,1,1.0
0,0,0,4,20,0,10,0.0,15,2,1.5,67,0,4,11,6,0,11,0,0.686567164179104
0,0,0,26,72,0,36,0.0,54,4,1.41176470588235,123,0,21,33,24,0,33,0,1.0
103,19,19,328,433,386,310,0.631578947368421,365,20,9.44444444444444,535,4,219,146,59,13,146,4,0.764485981308411
31,12,12,0,144,50,140,0.666666666666667,141,1,0.0296296296296296,478,5,0,143,74,0,141,5,0.794979079497908
0,0,0,0,4,0,2,0.0,3,0,0.0,18,0,0,3,2,0,3,0,1.0
14,14,14,0,52,73,50,0.5,51,1,1.0,59,3,0,51,4,0,51,3,0.76271186440678
6,4,4,5,24,6,14,0.75,19,3,1.75,76,2,5,14,8,0,14,2,0.5
0,1,1,0,9,51,7,1.0,8,1,1.0,51,1,0,8,8,0,8,1,1.0
2,1,1,58,96,3,50,1.0,69,13,7.16666666666667,184,1,42,26,25,2,27,1,0.75
0,0,0,10,30,0,16,0.0,23,4,2.66666666666667,69,0,7,16,9,1,16,0,0.507246376811594
3,2,2,17,50,2,24,0.5,37,5,2.83333333333333,95,2,17,20,15,0,20,2,0.6
0,0,0,5,21,0,11,0.0,16,3,2.0,71,0,5,11,7,0,11,0,0.535211267605634
2,1,1,53,94,2,58,1.0,76,10,5.0,150,1,33,43,28,9,43,1,1.0
0,0,0,7,26,0,14,0.0,20,4,2.0,77,0,7,13,8,0,13,0,0.519480519480519
7,2,2,22,51,3,28,0.5,39,13,4.8,95,2,18,21,11,0,21,2,0.378947368421053
0,0,0,5,21,0,11,0.0,16,3,2.0,58,0,5,11,8,0,11,0,0.655172413793103
20,8,8,209,377,522,211,0.375,286,17,3.70212765957447,500,4,147,140,86,6,139,4,0.898
0,0,0,7,26,0,14,0.0,20,4,2.0,76,0,7,13,8,0,13,0,0.513157894736842
0,0,0,9,33,0,17,0.0,25,4,1.57142857142857,106,0,9,16,12,0,16,0,0.452830188679245
0,0,0,5,21,0,11,0.0,16,3,2.0,80,0,5,11,8,0,11,0,0.4875
0,0,0,1,6,0,4,0.0,5,1,1.0,45,0,0,5,5,0,5,0,1.0
9,7,7,0,23,44,19,0.857142857142857,20,1,1.0,74,2,0,22,3,0,20,2,1.0
0,1,1,0,4,14,2,1.0,3,0,0.0,14,1,0,3,2,0,3,1,1.0
0,0,0,0,3,0,1,0.0,2,0,0.0,34,0,0,2,1,0,2,0,1.0
1,1,1,30,53,1,37,1.0,43,13,6.33333333333333,96,1,19,25,11,0,24,1,0.354166666666667
42,4,4,32,61,35,31,0.5,42,4,2.0,102,3,18,24,14,1,24,3,0.450980392156863
0,0,0,0,4,0,2,0.0,3,1,1.0,32,0,0,3,1,0,3,0,0.78125
0,0,0,5,23,0,13,0.0,18,4,2.0,72,0,5,13,7,0,13,0,0.555555555555556
0,0,0,2,10,0,4,0.0,6,1,1.0,38,0,2,5,3,0,4,0,0.736842105263158
34,4,4,29,74,173,31,0.75,51,5,1.52941176470588,139,2,27,26,17,0,24,2,0.992805755395683
0,0,0,17,38,0,17,0.0,27,5,2.28571428571429,76,0,14,13,8,0,13,0,1.0
1,1,1,13,40,1,20,1.0,30,5,2.25,84,1,13,17,13,1,17,1,0.404761904761905
0,0,0,0,3,0,1,0.0,2,0,0.0,34,0,0,2,1,0,2,0,1.0
0,0,0,2,10,0,5,0.0,8,2,1.5,42,0,2,6,5,0,6,0,1.0
0,0,0,13,43,0,19,0.0,31,4,1.81818181818182,87,0,13,18,14,0,18,0,0.701149425287356
255,11,11,187,329,281,148,0.545454545454545,223,18,6.2,433,4,148,99,63,28,75,4,0.674364896073903
3,3,3,10,45,51,23,0.666666666666667,34,1,1.0,48,2,10,24,3,0,24,2,0.895833333333333
0,0,0,5,21,0,11,0.0,16,3,2.0,72,0,5,11,8,0,11,0,0.527777777777778
0,0,0,0,3,0,1,0.0,2,0,0.0,34,0,0,2,1,0,2,0,1.0
0,0,0,6,14,0,8,0.0,11,2,1.5,52,0,2,9,3,0,9,0,0.557692307692308
0,0,0,45,48,0,61,0.0,92,2,1.5,80,0,45,47,2,0,47,0,1.0
36,12,12,58,98,45,51,0.583333333333333,72,15,7.83333333333333,147,5,41,36,14,6,31,5,0.312925170068027
0,0,0,0,3,0,1,0.0,2,0,0.0,16,0,0,2,2,0,2,0,1.0
0,0,0,1,6,0,2,0.0,4,2,2.0,7,0,1,3,1,1,3,0,1.0
0,0,0,1,4,0,2,0.0,3,0,0.0,33,0,0,3,2,0,3,0,1.0
6,2,2,110,166,7,111,1.0,140,36,9.44444444444444,217,1,79,58,20,0,61,1,0.944700460829493
10,6,6,30,63,13,33,0.666666666666667,47,10,4.0,112,3,24,29,19,2,23,3,0.571428571428571
46,11,11,85,156,121,85,0.727272727272727,112,23,7.9,220,4,55,64,28,2,57,4,0.468181818181818
1,1,1,1,10,1,6,1.0,8,1,1.0,47,1,1,7,3,0,7,1,0.957446808510638
1,2,2,18,39,3,19,0.5,29,6,3.33333333333333,104,2,16,13,13,3,13,2,0.528846153846154
33,6,6,262,373,32,142,0.666666666666667,199,10,6.42307692307692,479,3,117,211,54,26,82,3,0.835073068893528
0,0,0,5,14,0,6,0.0,10,2,1.5,20,0,4,6,3,0,6,0,1.0
0,0,0,0,3,0,1,0.0,2,0,0.0,16,0,0,2,1,0,2,0,1.0
9,1,1,10,34,1,18,1.0,26,5,2.0,106,1,10,16,12,0,16,1,0.490566037735849
0,0,0,0,3,0,1,0.0,2,0,0.0,34,0,0,2,1,0,2,0,1.0
0,0,0,1,6,0,2,0.0,4,2,2.0,37,0,1,3,1,0,3,0,1.0
1,1,1,59,73,6,67,1.0,85,3,1.66666666666667,130,1,43,39,5,3,42,1,0.984615384615385
3,2,2,27,57,5,32,0.5,43,11,5.25,99,2,19,24,12,3,24,2,0.909090909090909
0,0,0,20,36,0,22,0.0,28,6,6.0,91,0,11,17,15,0,17,0,0.967032967032967
0,0,0,3,11,0,7,0.0,9,2,2.0,41,0,2,7,3,0,7,0,0.951219512195122
11,5,5,25,48,77,38,0.8,46,13,7.66666666666667,66,2,24,22,17,0,22,2,0.984848484848485
3,3,3,64,110,10,64,0.666666666666667,86,17,6.0,176,2,47,37,24,2,39,2,0.261363636363636
2,3,3,18,36,4,20,0.333333333333333,26,10,7.33333333333333,73,3,9,17,6,3,17,3,0.986301369863014
13,8,8,0,20,41,18,1.0,19,1,0.0666666666666667,80,1,0,19,13,0,19,1,0.95
43,4,4,22,50,34,26,0.75,42,6,3.75,117,2,18,20,10,0,24,2,0.504273504273504
0,0,0,374,385,0,256,0.0,259,3,2.0,422,0,123,138,6,2,136,0,0.834123222748815
33,2,2,0,3,66,1,1.0,2,0,0.0,33,1,0,2,2,0,2,1,1.0
0,0,0,160,221,0,151,0.0,185,7,4.81818181818182,288,0,119,63,40,0,66,0,0.895833333333333
9,6,6,34,95,58,44,0.833333333333333,70,8,1.82608695652174,169,2,33,39,30,0,37,2,0.585798816568047
5,1,1,5,21,5,11,1.0,16,3,1.75,78,1,5,11,7,0,11,1,0.5
10,1,1,8,29,2,15,1.0,22,3,1.83333333333333,81,1,8,14,9,0,14,1,0.580246913580247
0,0,0,0,5,0,3,0.0,4,1,1.0,46,0,0,5,4,0,4,0,1.0
0,0,0,149,266,0,141,0.0,205,9,3.08108108108108,391,0,118,83,77,1,87,0,1.0
21,7,7,48,89,38,51,1.0,68,13,5.5,143,1,48,24,18,0,20,1,0.986013986013986
0,0,0,6,25,0,13,0.0,19,3,1.6,75,0,6,13,8,0,13,0,0.613333333333333
0,1,1,0,4,14,2,1.0,3,1,1.0,14,1,0,3,2,0,3,1,1.0
0,0,0,5,21,0,11,0.0,16,3,2.0,57,0,5,11,7,0,11,0,0.666666666666667
1269,25,25,551,718,1995,440,0.92,543,49,9.42857142857143,999,2,378,170,133,0,165,2,0.92992992992993
0,0,0,39,81,0,47,0.0,67,11,2.84615384615385,147,0,26,40,25,1,41,0,0.748299319727891
3,4,4,63,116,196,53,0.75,78,11,1.83333333333333,193,2,40,34,23,2,38,2,0.989637305699482
0,0,0,3,16,0,8,0.0,12,2,1.66666666666667,59,0,3,9,5,0,9,0,0.610169491525424
0,0,0,10,34,0,18,0.0,26,5,2.0,94,0,10,16,10,0,16,0,0.585106382978723
1,6,6,10,23,35,17,0.666666666666667,20,3,3.0,34,3,8,12,8,0,12,3,0.970588235294118
